,from,to,type,event id,flags,source,time,operation,protection,advice,pid
79,1f01af9e0142951622bf1a808385eac2,711e85fad0a8d268142f6e203dae89f0,WasTriggeredBy,1398,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.74,clone,,,
80,905be422bfe4a1f18c91e812edecc7f7,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1400,,syscall,1702119793.744,mmap (write),3.0,,
81,711e85fad0a8d268142f6e203dae89f0,711e85fad0a8d268142f6e203dae89f0,WasTriggeredBy,1401,,syscall,1702119793.744,exit,,,
82,4419a07dc8f7d1cf3bbd5e1eb0d842aa,bc57332c562db05de939245112665fda,WasTriggeredBy,2309,,syscall,1702119793.86,execve,,,
83,4419a07dc8f7d1cf3bbd5e1eb0d842aa,463300ec78aa5cf048742792ee5e5ef4,Used,2309,,syscall,1702119793.86,load,,,
84,4419a07dc8f7d1cf3bbd5e1eb0d842aa,ff24d51b85635ab8e2118892169b5c1d,Used,2310,O_RDONLY,syscall,1702119793.892,open,,,
85,4419a07dc8f7d1cf3bbd5e1eb0d842aa,ff24d51b85635ab8e2118892169b5c1d,Used,2311,,syscall,1702119793.892,close,,,
86,38b136bfa8fe84cb3c996454cefbc942,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2312,,syscall,1702119793.892,mmap (write),3.0,,
87,914b0c42ae1a27b1331485fc9b461f1d,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2313,,syscall,1702119793.892,mmap (write),0.0,,
88,67884a9801c720a81ec1e4ddd63a2ad3,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2314,,syscall,1702119793.892,mmap (write),0.0,,
89,a875c00fb6304291d114888414c724e0,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2315,,syscall,1702119793.892,mmap (write),0.0,,
90,94c53cc71eb533e7db8d1c66e71374c2,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2316,,syscall,1702119793.892,mmap (write),0.0,,
91,181e5399ddc4128b2f1121e5ed8f3ac1,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2317,,syscall,1702119793.892,mmap (write),0.0,,
92,7a845841ae141f98f6d36683ece898df,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2318,,syscall,1702119793.892,mmap (write),0.0,,
93,920b1b3afdc25d1afa1b45f7047467bd,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2319,,syscall,1702119793.892,mmap (write),3.0,,
94,918b818ec7438c64d60384e8345d5d99,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2320,,syscall,1702119793.892,mmap (write),3.0,,
95,98c20c348e6c6048329b40a0b40e69f8,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2321,,syscall,1702119793.892,mmap (write),3.0,,
96,263fe76d2c655c439e97a877a2a3e33f,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2322,,syscall,1702119793.892,mmap (write),3.0,,
97,de0b604a5209023b0972d2fdc29e2174,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2323,,syscall,1702119793.892,mmap (write),3.0,,
98,19818d866974787c78811cc884b1b7a3,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2324,,syscall,1702119793.892,mmap (write),3.0,,
99,19ce5ece06253ca71cff31c51a1ace58,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2326,,syscall,1702119793.892,mmap (write),3.0,,
100,7f9561b431f5260ac3be6f4ce6d32ed7,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2327,,syscall,1702119793.892,mmap (write),3.0,,
101,ea7ff80a5650a06c907a145b050bc8fb,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2328,,syscall,1702119793.892,mmap (write),3.0,,
102,c06d5b8f5f360292435a3d972fe1969d,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2329,,syscall,1702119793.892,mmap (write),3.0,,
103,fcd3e9ad3434984851578a0edd6fac5b,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2330,,syscall,1702119793.892,mmap (write),3.0,,
104,02d7ce6333a0b3806b3891432134a908,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasTriggeredBy,2338,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.892,clone,,,
105,a708cec856d38a1c55cc1bb21f56e745,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasTriggeredBy,2339,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.892,clone,,,
106,31f2ee457455785dcd386f5565fcf713,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasTriggeredBy,2340,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.892,clone,,,
107,54e69efabbae666f252a7fd267e0adcd,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2349,,syscall,1702119793.896,mmap (write),3.0,,
108,7938335375279b25f1ce8933e195a8e0,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasTriggeredBy,2350,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.896,clone,,,
109,59a9c9416e4601ebff391d9fe7bc85c8,4419a07dc8f7d1cf3bbd5e1eb0d842aa,WasGeneratedBy,2352,,syscall,1702119793.896,mmap (write),3.0,,
110,4419a07dc8f7d1cf3bbd5e1eb0d842aa,463300ec78aa5cf048742792ee5e5ef4,Used,2355,O_RDONLY,syscall,1702119793.9,open,,,
111,4419a07dc8f7d1cf3bbd5e1eb0d842aa,463300ec78aa5cf048742792ee5e5ef4,Used,2357,,syscall,1702119793.9,close,,,
112,802363cc045c093440fd5a013c25d645,9ee7d48beecb224b1aac0c5c16b4141d,WasTriggeredBy,2360,,syscall,1702119793.892,execve,,,
113,802363cc045c093440fd5a013c25d645,463300ec78aa5cf048742792ee5e5ef4,Used,2360,,syscall,1702119793.892,load,,,
114,802363cc045c093440fd5a013c25d645,ff24d51b85635ab8e2118892169b5c1d,Used,2361,O_RDONLY,syscall,1702119793.904,open,,,
115,802363cc045c093440fd5a013c25d645,ff24d51b85635ab8e2118892169b5c1d,Used,2362,,syscall,1702119793.904,close,,,
116,9faae61eb4b3400d1c29dd1e4419fdf3,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2363,,syscall,1702119793.904,mmap (write),3.0,,
117,7a03a75d650aade66f2297077eb4ee06,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2364,,syscall,1702119793.904,mmap (write),0.0,,
118,0b6f11b2019d5cdec853dba414095ab5,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2365,,syscall,1702119793.904,mmap (write),0.0,,
119,445ec0aabc5b32352c80f211892ad72d,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2366,,syscall,1702119793.904,mmap (write),0.0,,
120,4510940b56bf8908bd47c103d8eefef9,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2367,,syscall,1702119793.904,mmap (write),0.0,,
121,e66a5801e972386aaf6703e586da05bd,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2368,,syscall,1702119793.904,mmap (write),0.0,,
122,fa78380f16faa57f541ca613546f55d4,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2369,,syscall,1702119793.904,mmap (write),0.0,,
123,82e0aa9610078da784513e24f1db1ec2,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2370,,syscall,1702119793.904,mmap (write),3.0,,
124,307c647e2d959c59e1d2938e7b365a02,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2371,,syscall,1702119793.904,mmap (write),3.0,,
125,a18bfcaea80ac940217dfdad89a733a1,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2372,,syscall,1702119793.904,mmap (write),3.0,,
126,c2d61dd47aa6a81b6fddd8046da1f0e8,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2373,,syscall,1702119793.904,mmap (write),3.0,,
127,ba7471593dcf969d2c736348b6be51f0,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2374,,syscall,1702119793.904,mmap (write),3.0,,
128,698a7bae78ef57cf69aae697be242676,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2375,,syscall,1702119793.904,mmap (write),3.0,,
129,990cbbae599a81bbbdfefac531e2109d,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2376,,syscall,1702119793.904,mmap (write),3.0,,
130,2eb0b0f06faae3c79d864ed8d58e2162,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2377,,syscall,1702119793.904,mmap (write),3.0,,
131,f88d7a86f7acc9c558cf74b7c600b612,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2378,,syscall,1702119793.904,mmap (write),3.0,,
132,aee6bcad568c12986ca484818f2b8e28,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2379,,syscall,1702119793.904,mmap (write),3.0,,
133,3d662e2c6afcf2bc7cbc2a3bf195808c,802363cc045c093440fd5a013c25d645,WasGeneratedBy,2380,,syscall,1702119793.904,mmap (write),3.0,,
134,e78bf5ec81def05879d5d7ac8357095a,802363cc045c093440fd5a013c25d645,WasTriggeredBy,2381,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.904,clone,,,
135,7f17c45f331aef1faaea022b3e8bafca,802363cc045c093440fd5a013c25d645,WasTriggeredBy,2382,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.904,clone,,,
